nameWithOwner,url,createdAt,stargazers,releases
DroidPluginTeam/DroidPlugin,https://github.com/DroidPluginTeam/DroidPlugin,2015-08-27T11:14:57Z,6790,2
google/closure-compiler,https://github.com/google/closure-compiler,2014-04-16T15:30:36Z,6784,0
gocd/gocd,https://github.com/gocd/gocd,2013-12-13T05:26:16Z,6735,74
hongyangAndroid/AndroidAutoLayout,https://github.com/hongyangAndroid/AndroidAutoLayout,2015-11-19T02:09:11Z,6688,0
zo0r/react-native-push-notification,https://github.com/zo0r/react-native-push-notification,2015-12-14T19:53:36Z,6570,35
apache/tomcat,https://github.com/apache/tomcat,2011-10-01T07:00:19Z,6552,0
NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd,2012-08-10T21:52:42Z,6543,3
bytedeco/javacv,https://github.com/bytedeco/javacv,2014-04-21T13:50:26Z,6490,9
react-native-video/react-native-video,https://github.com/react-native-video/react-native-video,2015-03-31T05:08:38Z,6486,10
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,2010-05-17T21:27:02Z,6450,0
apache/storm,https://github.com/apache/storm,2013-11-05T08:00:14Z,6433,0
pentaho/pentaho-kettle,https://github.com/pentaho/pentaho-kettle,2013-10-08T18:27:11Z,6402,1
real-logic/aeron,https://github.com/real-logic/aeron,2014-02-07T17:16:58Z,6392,84
vinc3m1/RoundedImageView,https://github.com/vinc3m1/RoundedImageView,2013-02-22T01:17:37Z,6385,19
zendesk/android-floating-action-button,https://github.com/zendesk/android-floating-action-button,2014-09-19T06:49:21Z,6375,0
google/error-prone,https://github.com/google/error-prone,2014-08-21T23:26:50Z,6361,26
processing/processing,https://github.com/processing/processing,2013-01-24T21:17:22Z,6312,48
koush/ion,https://github.com/koush/ion,2013-05-22T07:41:23Z,6299,0
rest-assured/rest-assured,https://github.com/rest-assured/rest-assured,2010-10-21T08:35:43Z,6281,0
NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,2012-09-05T05:56:24Z,6262,3
ArthurHub/Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper,2015-01-15T10:49:37Z,6232,32
rabbitmq/rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials,2010-09-21T11:41:26Z,6231,0
alibaba/transmittable-thread-local,https://github.com/alibaba/transmittable-thread-local,2013-10-13T08:48:33Z,6171,55
frohoff/ysoserial,https://github.com/frohoff/ysoserial,2015-01-28T07:13:55Z,6156,1
ikew0ng/SwipeBackLayout,https://github.com/ikew0ng/SwipeBackLayout,2013-08-25T03:36:12Z,6135,0
mrniko/netty-socketio,https://github.com/mrniko/netty-socketio,2012-01-12T11:43:49Z,6131,6
Alluxio/alluxio,https://github.com/Alluxio/alluxio,2012-12-21T17:43:46Z,6126,59
rengwuxian/MaterialEditText,https://github.com/rengwuxian/MaterialEditText,2014-10-30T10:07:23Z,6115,19
sshahine/JFoenix,https://github.com/sshahine/JFoenix,2015-09-08T14:04:24Z,6073,0
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,2011-03-07T13:41:46Z,6071,0
daimajia/NumberProgressBar,https://github.com/daimajia/NumberProgressBar,2014-05-01T08:54:25Z,6040,3
MinecraftForge/MinecraftForge,https://github.com/MinecraftForge/MinecraftForge,2012-01-30T01:35:01Z,6029,0
rey5137/material,https://github.com/rey5137/material,2014-12-09T12:07:32Z,6028,10
pedrovgs/EffectiveAndroidUI,https://github.com/pedrovgs/EffectiveAndroidUI,2014-07-04T08:42:20Z,6025,0
google/physical-web,https://github.com/google/physical-web,2014-09-30T18:32:14Z,6023,17
wasabeef/richeditor-android,https://github.com/wasabeef/richeditor-android,2015-03-30T16:19:20Z,5998,0
singwhatiwanna/dynamic-load-apk,https://github.com/singwhatiwanna/dynamic-load-apk,2014-03-30T11:51:00Z,5995,0
mapstruct/mapstruct,https://github.com/mapstruct/mapstruct,2012-05-28T12:42:42Z,5984,26
apache/zeppelin,https://github.com/apache/zeppelin,2015-03-25T07:00:06Z,5964,0
wyouflf/xUtils3,https://github.com/wyouflf/xUtils3,2015-10-28T10:56:04Z,5958,9
antoniolg/androidmvp,https://github.com/antoniolg/androidmvp,2014-04-02T05:42:20Z,5957,0
joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo,2013-06-22T22:28:53Z,5939,62
gzu-liyujiang/AndroidPicker,https://github.com/gzu-liyujiang/AndroidPicker,2015-10-21T14:21:16Z,5878,54
lightbend/config,https://github.com/lightbend/config,2011-12-06T08:02:29Z,5861,0
prolificinteractive/material-calendarview,https://github.com/prolificinteractive/material-calendarview,2015-02-09T22:31:56Z,5848,22
JesusFreke/smali,https://github.com/JesusFreke/smali,2012-09-23T19:51:16Z,5813,0
springfox/springfox,https://github.com/springfox/springfox,2012-05-06T06:38:57Z,5789,12
google/grafika,https://github.com/google/grafika,2013-12-19T18:36:53Z,5772,1
graphql-java/graphql-java,https://github.com/graphql-java/graphql-java,2015-07-06T06:52:20Z,5761,49
springside/springside4,https://github.com/springside/springside4,2012-02-23T08:39:03Z,5758,3
lets-blade/blade,https://github.com/lets-blade/blade,2015-06-10T03:35:49Z,5752,9
JakeWharton/DiskLruCache,https://github.com/JakeWharton/DiskLruCache,2012-01-05T00:36:34Z,5740,0
haifengl/smile,https://github.com/haifengl/smile,2014-11-20T16:28:12Z,5694,24
JakeWharton/u2020,https://github.com/JakeWharton/u2020,2013-11-14T11:58:23Z,5688,0
junit-team/junit5,https://github.com/junit-team/junit5,2015-01-11T19:06:10Z,5656,59
dmytrodanylyk/circular-progress-button,https://github.com/dmytrodanylyk/circular-progress-button,2014-06-07T12:58:48Z,5644,2
daimajia/AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider,2014-06-02T06:04:17Z,5644,5
robolectric/robolectric,https://github.com/robolectric/robolectric,2010-08-28T00:28:25Z,5609,89
amlcurran/ShowcaseView,https://github.com/amlcurran/ShowcaseView,2012-08-14T19:07:36Z,5608,13
nhaarman/ListViewAnimations,https://github.com/nhaarman/ListViewAnimations,2013-03-19T11:59:23Z,5603,14
changmingxie/tcc-transaction,https://github.com/changmingxie/tcc-transaction,2015-12-05T04:27:53Z,5589,6
hongyangAndroid/FlowLayout,https://github.com/hongyangAndroid/FlowLayout,2015-08-28T09:32:31Z,5565,0
knightliao/disconf,https://github.com/knightliao/disconf,2014-05-30T09:39:27Z,5547,12
emilsjolander/StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,2012-03-11T18:29:18Z,5527,16
